A,B,C,D,E
-0.161582374150097e1,-0.169248587770116e-2,0.311790812418427e0,0.102799849391985e0,0.227738840094906e-1
-0.244699182370524e1,0.289195744315849e1,-0.155946803821447e1,-0.196061023297549e1,0.252778927322839e1
-0.716989419708120e-2,0.378039588360192e-2,-0.167896928259640e1,0.193813913762276e1,-0.719180053552772e-1
0.244002732616735e1,-0.289688250328827e1,0.166335809963315e1,-0.158240635368243e0,0.536018921307285e-2
0.157739928123617e0,0.289105148970595e1,-0.106458714789183e1,-0.144485223686048e1,-0.204809795887393e1
0.182020630970714e1,-0.233864815101035e1,0.136934946416871e1,0.253693336566229e0,0.107990467703699e0
0.104242620869991e1,0.148819229202922e1,0.629030650210433e0,0.914844246229740e0,0.130300165760014e1
