A,B,C
-0.117767998417887e1,-0.213228522200144e1,0.152886228424922e-2
0.235573213359357e0,0.426068187079180e-2,-0.214403531630539e1
0.784513610477560e0,0.143984816797678e1,0.144778256239930e1
